state_fips,place_fips,name,state,lat,lng
01,00100,Abanda CDP,AL,33.091627,-85.527029
01,00124,Abbeville city,AL,31.564706,-85.259121
01,00460,Adamsville city,AL,33.602315,-86.971527
01,00484,Addison town,AL,34.202681,-87.178004
01,00676,Akron town,AL,32.879066,-87.740899
01,00820,Alabaster city,AL,33.214355,-86.82308
01,00988,Albertville city,AL,34.26313,-86.21066
01,01132,Alexander City city,AL,32.916719,-85.940589
01,01180,Alexandria CDP,AL,33.760819,-85.872008
01,01228,Aliceville city,AL,33.123706,-88.159344
01,01396,Allgood town,AL,33.907623,-86.516109
01,01660,Altoona town,AL,34.040014,-86.305179
01,01708,Andalusia city,AL,31.309436,-86.478031
01,01756,Anderson town,AL,34.915675,-87.274274
01,01852,Anniston city,AL,33.673469,-85.810891
01,02116,Arab city,AL,34.332387,-86.501167
01,02260,Ardmore town,AL,34.987838,-86.829022
01,02320,Argo town,AL,33.691018,-86.505281
01,02428,Ariton town,AL,31.597772,-85.713061
01,02500,Arley town,AL,34.076234,-87.217831
01,02836,Ashford town,AL,31.185284,-85.236236
01,02860,Ashland town,AL,33.269892,-85.833706
01,02908,Ashville city,AL,33.835197,-86.270015
01,02956,Athens city,AL,34.779021,-86.950799
01,03004,Atmore city,AL,31.124067,-87.457798
01,03028,Attalla city,AL,33.986189,-86.121037
01,03076,Auburn city,AL,32.607806,-85.494746
01,03220,Autaugaville town,AL,32.432563,-86.658752
01,03364,Avon town,AL,31.179727,-85.279211
01,03508,Axis CDP,AL,30.922171,-88.02262
01,03556,Babbie town,AL,31.302083,-86.319437
01,03676,Baileyton town,AL,34.260858,-86.608788
01,03724,Bakerhill town,AL,31.776923,-85.295408
01,03820,Ballplay CDP,AL,34.023047,-85.801478
01,03940,Banks town,AL,31.813264,-85.836434
01,04660,Bay Minette city,AL,30.894436,-87.791306
01,04684,Bayou La Batre city,AL,30.407586,-88.263271
01,04852,Bear Creek town,AL,34.255481,-87.713399
01,04900,Beatrice town,AL,31.733309,-87.209046
01,04948,Beaverton town,AL,33.935411,-88.021778
01,05140,Belgreen CDP,AL,34.47454,-87.861678
01,05164,Belk town,AL,33.651641,-87.92861
01,05188,Bellamy CDP,AL,32.463658,-88.131481
01,05212,Belle Fontaine CDP,AL,30.489492,-88.10594
01,05692,Benton town,AL,32.307931,-86.817546
01,05812,Berlin town,AL,34.185005,-86.748955
01,05932,Berry town,AL,33.666702,-87.609311
01,05980,Bessemer city,AL,33.370858,-86.971522
01,06460,Billingsley town,AL,32.664711,-86.706713
01,07000,Birmingham city,AL,33.527174,-86.797036
01,07120,Black town,AL,31.00977,-85.74442
01,07456,Blountsville town,AL,34.075838,-86.583918
01,07588,Blue Ridge CDP,AL,32.4989,-86.182436
01,07672,Blue Springs town,AL,31.663516,-85.503526
01,07912,Boaz city,AL,34.19902,-86.155151
01,08104,Boligee town,AL,32.768081,-88.02859
01,08248,Bon Air town,AL,33.25937,-86.327148
01,08272,Bon Secour CDP,AL,30.318246,-87.72439
01,08680,Boykin CDP,AL,32.068375,-87.294343
01,09016,Brantley town,AL,31.581992,-86.256784
01,09064,Brantleyville CDP,AL,33.219303,-86.882522
01,09136,Brent city,AL,32.944893,-87.172088
01,09208,Brewton city,AL,31.109175,-87.076583
01,09328,Bridgeport city,AL,34.949312,-85.723765
01,09400,Brighton city,AL,33.439551,-86.945404
01,09424,Brilliant town,AL,34.025671,-87.769047
01,09457,Bristow Cove CDP,AL,34.109216,-86.240993
01,09500,Brook Highland CDP,AL,33.438035,-86.685262
01,09736,Brookside town,AL,33.634617,-86.906314
01,09808,Brookwood town,AL,33.239842,-87.331488
01,09880,Broomtown CDP,AL,34.365728,-85.532112
01,10240,Brundidge city,AL,31.717639,-85.81755
01,10456,Bucks CDP,AL,31.016881,-88.026385
01,11032,Butler town,AL,32.096479,-88.210781
01,11416,Calera city,AL,33.122319,-86.745644
01,11488,Calvert CDP,AL,31.149898,-88.021549
01,11512,Camden city,AL,31.998493,-87.28895
01,11680,Camp Hill town,AL,32.797327,-85.655833
01,12016,Carbon Hill city,AL,33.894991,-87.522078
01,12040,Cardiff town,AL,33.64729,-86.930637
01,12070,Carlisle-Rockledge CDP,AL,34.114451,-86.124073
01,12112,Carlton CDP,AL,31.348571,-87.835666
01,12160,Carolina town,AL,31.23415,-86.521001
01,12304,Carrollton town,AL,33.261903,-88.095071
01,12496,Castleberry town,AL,31.299678,-87.029129
01,12544,Catherine CDP,AL,32.18617,-87.469978
01,12760,Cedar Bluff town,AL,34.221422,-85.588565
01,13264,Center Point city,AL,33.643903,-86.684567
01,13648,Centre city,AL,34.153059,-85.671683
01,13672,Centreville city,AL,32.958967,-87.132043
01,14008,Chatom town,AL,31.469145,-88.246019
01,14104,Chelsea city,AL,33.309007,-86.635139
01,14152,Cherokee town,AL,34.7577,-87.965589
01,14392,Chickasaw city,AL,30.77145,-88.079697
01,14464,Childersburg city,AL,33.292549,-86.340844
01,14728,Choccolocco CDP,AL,33.667728,-85.707191
01,14968,Chunchula CDP,AL,30.927194,-88.2082
01,15064,Citronelle city,AL,31.097269,-88.249843
01,15136,Clanton city,AL,32.845572,-86.619494
01,15256,Clay city,AL,33.696583,-86.608182
01,15304,Clayhatchee town,AL,31.236925,-85.721478
01,15376,Clayton town,AL,31.882277,-85.460454
01,15472,Cleveland town,AL,34.002179,-86.561352
01,15640,Clio city,AL,31.708516,-85.611039
01,16000,Coaling town,AL,33.169901,-87.349887
01,16080,Coats Bend CDP,AL,34.073273,-85.874602
01,16240,Coffee Springs town,AL,31.165836,-85.910898
01,16264,Coffeeville town,AL,31.766564,-88.086049
01,16312,Coker town,AL,33.243752,-87.681329
01,16600,Collinsville town,AL,34.267224,-85.86861
01,16684,Colony town,AL,33.941393,-86.902001
01,16744,Columbia town,AL,31.295351,-85.110202
01,16768,Columbiana city,AL,33.191452,-86.615618
01,16936,Concord CDP,AL,33.461988,-87.040429
01,17176,Coosada town,AL,32.495394,-86.326543
01,17368,Cordova city,AL,33.761788,-87.199416
01,17704,Cottondale CDP,AL,33.193047,-87.454861
01,17824,Cottonwood town,AL,31.054033,-85.29956
01,17968,County Line town,AL,33.818902,-86.714706
01,18040,Courtland town,AL,34.669946,-87.327892
01,18088,Cowarts town,AL,31.206248,-85.309769
01,18304,Creola city,AL,30.874249,-88.009536
01,18856,Crossville town,AL,34.282697,-85.999737
01,18952,Cuba town,AL,32.440733,-88.374798
01,18976,Cullman city,AL,34.17687,-86.840656
01,19024,Cullomburg CDP,AL,31.713061,-88.291774
01,19216,Cusseta town,AL,32.787637,-85.305769
01,19336,Dadeville city,AL,32.826114,-85.776201
01,19360,Daleville city,AL,31.291534,-85.711711
01,19648,Daphne city,AL,30.626072,-87.881783
01,19744,Dauphin Island town,AL,30.250913,-88.171268
01,19816,Daviston town,AL,33.056839,-85.634329
01,19912,Dayton town,AL,32.350958,-87.641573
01,20008,Deatsville town,AL,32.589044,-86.389059
01,20104,Decatur city,AL,34.572995,-86.989901
01,20152,Deer Park CDP,AL,31.218369,-88.328023
01,20272,Delta CDP,AL,33.440524,-85.675905
01,20296,Demopolis city,AL,32.499744,-87.826678
01,20392,Detroit town,AL,34.027379,-88.167831
01,20955,Dodge City town,AL,34.043275,-86.885524
01,21136,Dora city,AL,33.728116,-87.081292
01,21184,Dothan city,AL,31.233698,-85.406823
01,21280,Double Springs town,AL,34.149648,-87.389447
01,21328,Douglas town,AL,34.168258,-86.323386
01,21448,Dozier town,AL,31.505407,-86.369235
01,21890,Dunnavant CDP,AL,33.495171,-86.540245
01,21952,Dutton town,AL,34.606152,-85.91185
01,22088,Eagle Point CDP,AL,33.400912,-86.676753
01,22216,East Brewton city,AL,31.09144,-87.055345
01,22504,East Point CDP,AL,34.191206,-86.79225
01,22816,Eclectic town,AL,32.640222,-86.041062
01,23032,Edgewater CDP,AL,33.530099,-86.95279
01,23176,Edwardsville town,AL,33.88374,-85.414124
01,23224,Egypt CDP,AL,34.075938,-86.165054
01,23296,Elba city,AL,31.417218,-86.077115
01,23320,Elberta town,AL,30.373753,-87.595729
01,23344,Eldridge town,AL,33.923053,-87.622869
